Text title,Specific text & privacy,Citation 1,Citation 2,Citation3
Abraham Cahan_ The Rise of David Levinsky,1,"Von Rosk, Nancy. “‘Go, Make Yourself for a Person’: Urbanity and the Construction of an American Identity in the Novels of Abraham Cahan and Anzia Yezierska.” Prospects 26 (October 2001): 295-335.",,
Anne Bronte_ Agnes Grey,1,"Frawley, Maria H. Anne Brontë. New York: Twayne Publishers, 1996.",,
Anne Bronte_ The Tenant of Wildfell Hall,1,"Carnell, Rachel K. “Feminism and the Public Sphere in Anne Brontë’s The Tenant of Wildfell Hall.” Nineteenth-Century Literature 53, no. 1 (1998): 1-24.",,
Anthony Trollope_ Orley Farm,0,,,
Anthony Trollope_ The Barsetshire Novels 1,0,,,
Anthony Trollope_ The Palliser Novels 1,1,"Meilaender, Peter. “The Good Man and the Good Citizen: Political Philosophy in Trollope's Palliser Novels.” Forum for Modern Language Studies 51, no. 4 (2015): 394–416.",,
Anthony Trollope_ The Palliser Novels 2,1,"Meilaender, Peter. “The Good Man and the Good Citizen: Political Philosophy in Trollope's Palliser Novels.” Forum for Modern Language Studies 51, no. 4 (2015): 394–416.",,
Anthony Trollope_ The Palliser Novels 3,1,"Meilaender, Peter. “The Good Man and the Good Citizen: Political Philosophy in Trollope's Palliser Novels.” Forum for Modern Language Studies 51, no. 4 (2015): 394–416.",,
Anthony Trollope_ The Palliser Novels 4,1,"Meilaender, Peter. “The Good Man and the Good Citizen: Political Philosophy in Trollope's Palliser Novels.” Forum for Modern Language Studies 51, no. 4 (2015): 394–416.",,
Anthony Trollope_ The Way We Live Now,0,,,
Arnold Bennett_ The Old Wives' Tale,0,,,
Bram Stoker_ Dracula,0,,,
Charles Dickens_ A Christmas Carol,1,"Taylor, James Stacey. “Privacy and Autonomy: A Reappraisal.” Southern Journal of Philosophy 40, no. 4 (2002): 587-604.",,
Charles Dickens_ A Tale of Two Cities,1,"Pionke, Albert D. “Degrees of Secrecy in Dickens's Historical Fiction.” Dickens Studies Annual 38 (2007): 35-53.",,
Charles Dickens_ Bleak House,1,"Bulman, Jessica. “Publishing Privacy: Intellectual Property, Self-Expression, and the Victorian Novel.” Hastings Communications and Entertainment Law Journal 26, no 1 (2003): 73-118.",,
Charles Dickens_ David Copperfield,1,"Bulman, Jessica. “Publishing Privacy: Intellectual Property, Self-Expression, and the Victorian Novel.” Hastings Communications and Entertainment Law Journal 26, no 1 (2003): 73-118.",,
Charles Dickens_ Great Expectations,1,"Pionke, Albert D. “Degrees of Secrecy in Dickens's Historical Fiction.” Dickens Studies Annual 38 (2007): 35-53.",,
Charles Dickens_ Hard Times,0,,,
Charles Dickens_ Little Dorrit,1,"Hennelly, Mark M., Jr. “Little Dorrit’s ‘Wildernesses of Secrets’.” Dickens Studies Annual 52, no. 2 (2021): 272–298.","Rosenthal, Jesse. “The Untrusted Medium: Open Networks, Secret Writing, and Little Dorrit.” Victorian Studies 59, no. 2 (Winter 2017): 288-313.",
Charles Dickens_ Nicholas Nickleby,0,,,
Charles Dickens_ Oliver Twist,0,,,
Charles Dickens_ The Mystery of Edwin Drood,0,,,
Charles Dickens_ The Pickwick Papers,0,,,
Charlotte Bronte_ Jane Eyre,1,"Spacks, Patricia Meyer. “The Privacy of the Novel.” NOVEL: A Forum on Fiction 31, no. 3 (1998): 304-316.",,
Charlotte Bronte_ Villette,1,"Jung, Sandro. “Curiosity, Surveillance and Detection in Charlotte Brontë's Villette.” The Journal of the Brontë Society 35, no. 2 (2010): 160-171.","Shaw, Margaret L. “Narrative Surveillance and Social Control in Villette.” Studies in English Literature, 1500-1900 34, no. 4 (1994): 813-833.","Silvana May, Leila. Secrecy and Disclosure in Victorian Fiction. Oxon: Routledge, 2017."
"Chesterton, GK_ The Man Who Was Thursday",0,,,
David Lindsay_ A Voyage to Arcturus,0,,,
Edgar Allan Poe_ The Narrative of Arthur Gordon Pym,0,,,
Edith Wharton_ Ethan Frome,0,,,
Edith Wharton_ The Age of Innocence,1,"Halpern, Ira. “Secret Love, Private Space, and Inner Sanctuary: The Concealed in The Age of Innocence.” The Explicator 73, no. 2 (2015): 133-136.",,
Edith Wharton_ The Custom of the Country,1,"Bulman, Jessica. “Edith Wharton, Privacy, and Publicity.” Yale Journal of Law and Feminism 16 (2004): 41-82.",,
Edith Wharton_ The House of Mirth,1,"Bulman, Jessica. “Edith Wharton, Privacy, and Publicity.” Yale Journal of Law and Feminism 16 (2004): 41-82.","Merish, Lori. “Engendering Naturalism: Narrative Form and Commodity Spectacle in U.S. Naturalist Fiction.” NOVEL: A Forum on Fiction 29, no. 3 (1996): 319-345.",
Elizabeth Gaskell_ Cranford,1,"Bulman, Jessica. “Publishing Privacy: Intellectual Property, Self-Expression, and the Victorian Novel.” Hastings Communications and Entertainment Law Journal 26, no 1 (2003): 73-118.",,
Elizabeth Gaskell_ Mary Barton,1,,,
Elizabeth Gaskell_ North and South,1,"Yeazell, Ruth Bernard. “Sexuality, Shame, and Privacy in the English Novel.” Social Research 68, no. 1 (2001): 119-144.",,
EM Forster_ Howard's End,0,,,
Emily Bronte_ Wuthering Heights,0,,,
Ford Madox Ford_ The Good Soldier,1,"Marks, Peter. “‘Don’t you see?’ Surveillance and Utopian Tranquility in ‘The Good Soldier’. International Ford Madox Ford Studies 14 (2005): 283-298.",,
Frank Norris_ The Octopus,0,,,
George Douglas Brown_ The House with the Green Shutters,0,,,
George Eliot_ Adam Bede,0,,,
George Eliot_ Daniel Deronda,1,"Crider, Ashley Lauren. “Turning ‘The Angel of the House’ out of the House: Privacy in the Nineteenth Century Sensation Novel.” MA Diss., Clemson University, 2010.",,
George Eliot_ Middlemarch,0,,,
George Eliot_ Silas Marner,0,,,
George Eliot_ The Mill on the Floss,1,"Spacks, Patricia Meyer. “The Privacy of the Novel.” NOVEL: A Forum on Fiction 31, no. 3 (1998): 304-316.",,
George Gissing_ New Grub Street,0,,,
George MacDonald_ At the Back of the North Wind,0,,,
George MacDonald_ Lilith,0,,,
George Meredith_ The Egoist,0,,,
Harold Frederic_ The Damnation of Theron Ware,0,,,
Henry James_ The Ambassadors,1,"Richard Salmon, Henry James and the Culture of Publicity (Cambridge: Cambridge University Press, 1997).",,
Henry James_ The Awkward Age,0,,,
Henry James_ The Bostonians Vol 1,1,"Richard Salmon, Henry James and the Culture of Publicity (Cambridge: Cambridge University Press, 1997).",,
Henry James_ The Golden Bowl,0,,,
Henry James_ The Portrait of a Lady Vol 1,0,,,
Henry James_ The Wings of the Dove Vol 1,1,"Lescinski, Joan. ""Fierce Privacy in The Wings of the Dove."" Literature and Medicine 9 (1990): 125-133. doi: 10.1353/lm.2011.0179.",,
Herman Melville_ Moby Dick,1,"Philip Young, The Private Melville (University Park, PA: The Pennsylvania State University Press, 1993).",,
James Fenimore Cooper_ The Deerslayer,1,"Castronovo, Russ. “James Fenimore Cooper and the NSA: Security, Property, Liberalism.” American Literary History 28, no. 4 (2016): 677–701. https://doi.org/10.1093/alh/ajw044.",,
James Hogg_ The Private Memoirs and Confessions of a Justified Sinner,1,"Mackenzie, Scott. “Confessions of a Gentrified Sinner: Secrets in Scott and Hogg.” Studies in Romanticism 41, no. 1 (2002): 3–32. https://doi.org/10.2307/25601542.

",,
James Joyce_ Portrait of the Artist as a Young Man,1,"Farahmandian, Hamid, and Lu Shao. “Stephen’s neurotic self-estrangement: A case study of James Joyce’s A Portrait of the Artist as a Young Man.” Journal of European Studies 52, no. 1 (2022): 24–35. ",,
James Joyce_ Ulysses,0,,,
Jane Austen_ Emma,1,"Wheeler, David. “The British Postal Service, Privacy, and Jane Austen's ‘Emma’.” South Atlantic Review 63, no. 4 (1998): 34-47.",,
Jane Austen_ Mansfield Park,1,,,
Jane Austen_ Persuasion,1,"Brown, Julia Prewitt. “Private and Public in Persuasion.” Persuasions 15 (1993): 131-138.",,
Jane Austen_ Pride and Prejudice,1,"Yeazell, Ruth Bernard. “Sexuality, Shame, and Privacy in the English Novel.” Social Research 68, no. 1 (2001): 119-144.","Spacks, Patricia Meyer. “The Privacy of the Novel.” NOVEL: A Forum on Fiction 31, no. 3 (1998): 304-316.",
"Jewett, Sarah Orne_ The Country of the Pointed Firs",0,,,
John Galsworthy_ The Forsyte Saga,0,,,
John Galt_ The Entail,0,,,
Joseph Conrad_ Lord Jim,0,,,
Joseph Conrad_ Nostromo,0,,,
Joseph Conrad_ The Secret Agent,0,,,
Joseph Conrad_ Under Western Eyes,0,,,
Joseph Conrad_ Victory,0,,,
Kate Chopin_ The Awakening,0,,,
"Lawrence, DH_ Sons and Lovers",0,,,
"Lawrence, DH_ The Rainbow",0,,,
"Lawrence, DH_ Women in Love",0,,,
Louisa May Alcott_ Little Women,1,https://rc.library.uta.edu/uta-ir/bitstream/handle/10106/4963/Bukowski_uta_2502M_10707.pdf?sequence=1&isAllowed=y,,
Maria Edgeworth_ Castle Rackrent,0,,,
Mark Twain_ A Connecticut Yankee in King Arthur’s,0,,,
Mark Twain_ The Adventures of Huckleberry Finn,1,"Macias, Steven J. “The Huck Finn Syndrome in History and Theory: The Origins of Family Privacy.” Journal of Law and Family Studies 12 (2010): 87-150.","Margolis, Stacey. The Public Life of Privacy in Nineteenth-Century American Literature. Durham and London: Duke University Press, 2005.",
Mark Twain_ The Mysterious Stranger,0,,,
Mary Shelley_Frankenstein,1,"Taipale, K. A. “Technology, Security and Privacy: The Fear of Frankenstein, the Mythology of Privacy and the Lessons of King Ludd.” Yale Journal of Law and Technology 7 (2004): 123-221.","Quinn, Elias Leake. “Privacy and the New Energy Infrastructure.” Center for Energy and Environmental Security (CEES) 9, no. 1 (2008): 1-41. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1370731.",
Miles Franklin_ My Brilliant Career,0,,,
Nathaniel Hawthorne_ The Marble Faun Vol 1,1,"Gordon Hutner , Secrets and Sympathy : Forms of Disclosure in Hawthorne's Novels ( Athens : University of Georgia Press , 1988",,
Nathaniel Hawthorne_The Scarlet Letter,1,"Cohen, Nili. “Love, Story, Law – From the Scarlet Letter to Freedom and Privacy.” Law & Literature 28, no. 2 (2016): 209-231. doi: 10.1080/1535685X.2016.1186348.","Gilmore, Leigh. “Reassembling Privacy: Vernacular Privacy in Law and The Scarlet Letter.” Law & Literature 27, no. 3 (2015): 295-312. doi: 10.1080/1535685X.2015.1024921.","Hutner, Gordon. Secrets and Sympathy: Forms of Disclosure in Hawthorne's Novels. Athens: University of Georgia Press, 1988."
Norman Douglas_ South Wind,0,,,
Oscar Wilde_ The Picture of Dorian Gray,1,"Tanaka, Yusuke. “The Premature Burial of Liberalism: Inadequate Fetishists in Oscar Wilde’s The Picture of Dorian Gray.” Hitotsubashi Review of Arts and Sciences 4: 9. https://hermes-ir.lib.hit-u.ac.jp/hermes/ir/re/18336/jinbun00004a0090.pdf.",,
Robert Louis Stevenson_ Dr Jekyll and Mr Hyde,1,"Cathrine O. Frank. “Privacy, Character, and the Jurisdiction of the Self: A ‘Story of the Door’ in The Strange Case of Dr. Jekyll and Mr. Hyde.” English Language Notes 1 48 2 (2010): 215–224. doi: https://doi.org/10.1215/00138282-48.2.215.",,
Robert Louis Stevenson_ Kidnapped,0,,,
